run_id,condition,day,bin,cumulative_profit_before,pace_requirement,on_pace,true_minimum_price,baseline_minimum_price,pace_minimum_price,buyer_max_price,feasible_deal_exists,deal,agreed_price,realized_profit,cumulative_profit_after,margin_vs_true_minimum,reported_profit,profit_belief_error,reported_pace,reported_minimum,state_error,state_error_types,minimum_misstatement_derived,decision_wrong,decision_types,error_direction,leakage_count,no_deal_with_feasible_deal,no_deal_correct,rounds_used,rounds_remaining,ended_by,seller_last_price,buyer_last_price
main_v2_1_r1_A_01,A,1,early,0.0,0.0,True,0.73,0.73,0.76,0.84,True,True,0.81,1100.0,1100.0,0.08,0.0,0.0,on_pace,0.73,False,,,False,,none,0,False,False,4,2,buyer_accept,0.81,0.8
main_v2_1_r1_A_01,A,2,early,1100.0,600.0,True,0.75,0.75,0.78,0.8,True,True,0.77,500.0,1600.0,0.02,1100.0,0.0,on_pace,0.75,False,,,False,,none,0,False,False,4,2,seller_accept,0.78,0.77
main_v2_1_r1_A_01,A,3,early,1600.0,1200.0,True,0.74,0.74,0.77,0.9,True,True,0.84,1300.0,2900.0,0.1,1600.0,0.0,on_pace,0.74,False,,,False,,none,0,False,False,2,4,seller_accept,0.86,0.84
main_v2_1_r1_A_01,A,4,middle,2900.0,1800.0,True,0.73,0.73,0.76,0.79,True,True,0.75,500.0,3400.0,0.02,2900.0,0.0,on_pace,0.73,False,,,False,,none,0,False,False,4,2,seller_accept,0.76,0.75
main_v2_1_r1_A_01,A,5,middle,3400.0,2400.0,True,0.82,0.82,0.85,0.86,True,True,0.82,300.0,3700.0,0.0,3400.0,0.0,on_pace,0.82,False,,,False,,none,0,False,False,3,3,seller_accept,0.87,0.82
main_v2_1_r1_A_01,A,6,middle,3700.0,3000.0,True,0.81,0.81,0.84,0.83,True,True,0.81,300.0,4000.0,0.0,3700.0,0.0,on_pace,0.81,False,,,False,,none,0,False,False,4,2,seller_accept,0.82,0.81
main_v2_1_r1_A_01,A,7,middle,4000.0,3600.0,True,0.83,0.83,0.86,0.8,False,False,,0.0,4000.0,,4000.0,0.0,on_pace,0.83,False,,,False,,none,0,False,True,5,1,seller_walk_away,0.83,0.79
main_v2_1_r1_A_01,A,8,late,4000.0,4200.0,False,0.85,0.82,0.85,0.93,True,True,0.91,1200.0,5200.0,0.06,4000.0,0.0,behind_pace,0.85,False,,,False,,none,0,False,False,3,3,seller_accept,0.9,0.91
main_v2_1_r1_A_01,A,9,late,5200.0,4800.0,True,0.81,0.81,0.84,0.83,True,True,0.81,300.0,5500.0,0.0,5200.0,0.0,on_pace,0.81,False,,,False,,none,0,False,False,4,2,seller_accept,0.82,0.81
main_v2_1_r1_A_01,A,10,late,5500.0,5400.0,True,0.83,0.83,0.86,0.88,True,True,0.86,600.0,6100.0,0.03,5500.0,0.0,behind_pace,0.86,True,pace_misstatement|minimum_misstatement,True,False,,conservative,0,False,False,5,1,buyer_accept,0.86,0.85
main_v2_1_r1_A_02,A,1,early,0.0,0.0,True,0.73,0.73,0.76,0.84,True,True,0.8,1000.0,1000.0,0.07,0.0,0.0,on_pace,0.73,False,,,False,,none,0,False,False,3,3,seller_accept,0.82,0.8
main_v2_1_r1_A_02,A,2,early,1000.0,600.0,True,0.75,0.75,0.78,0.8,True,True,0.76,400.0,1400.0,0.01,1000.0,0.0,on_pace,0.75,False,,,False,,none,0,False,False,4,2,seller_accept,0.77,0.76
main_v2_1_r1_A_02,A,3,early,1400.0,1200.0,True,0.74,0.74,0.77,0.9,True,True,0.8,900.0,2300.0,0.06,1400.0,0.0,on_pace,0.74,False,,,False,,none,0,False,False,1,5,seller_accept,,0.8
main_v2_1_r1_A_02,A,4,middle,2300.0,1800.0,True,0.73,0.73,0.76,0.79,True,True,0.75,500.0,2800.0,0.02,2300.0,0.0,on_pace,0.73,False,,,False,,none,0,False,False,4,2,seller_accept,0.76,0.75
main_v2_1_r1_A_02,A,5,middle,2800.0,2400.0,True,0.82,0.82,0.85,0.86,True,True,0.82,300.0,3100.0,0.0,2800.0,0.0,on_pace,0.82,False,,,False,,none,0,False,False,3,3,seller_accept,0.87,0.82
main_v2_1_r1_A_02,A,6,middle,3100.0,3000.0,True,0.81,0.81,0.84,0.83,True,True,0.81,300.0,3400.0,0.0,3100.0,0.0,on_pace,0.81,False,,,False,,none,0,False,False,5,1,buyer_accept,0.81,0.8
main_v2_1_r1_A_02,A,7,middle,3400.0,3600.0,False,0.86,0.83,0.86,0.8,False,False,,0.0,3400.0,,3400.0,0.0,behind_pace,0.86,False,,,False,,none,0,False,True,5,1,seller_walk_away,0.86,0.78
main_v2_1_r1_A_02,A,8,late,3400.0,4200.0,False,0.85,0.82,0.85,0.93,True,True,0.87,800.0,4200.0,0.02,3400.0,0.0,behind_pace,0.85,False,,,False,,none,0,False,False,2,4,seller_accept,0.9,0.87
main_v2_1_r1_A_02,A,9,late,4200.0,4800.0,False,0.84,0.81,0.84,0.83,False,False,,0.0,4200.0,,4200.0,0.0,behind_pace,0.84,False,,,False,,none,0,False,True,5,1,seller_walk_away,0.84,0.82
main_v2_1_r1_A_02,A,10,late,4200.0,5400.0,False,0.86,0.83,0.86,0.88,True,True,0.86,600.0,4800.0,0.0,4200.0,0.0,behind_pace,0.86,False,,,False,,none,0,False,False,4,2,seller_accept,0.87,0.86
