run_id,condition,day,bin,cumulative_profit_before,pace_requirement,on_pace,true_minimum_price,baseline_minimum_price,pace_minimum_price,buyer_max_price,feasible_deal_exists,deal,agreed_price,realized_profit,cumulative_profit_after,margin_vs_true_minimum,reported_profit,profit_belief_error,reported_pace,reported_minimum,state_error,state_error_types,minimum_misstatement_derived,decision_wrong,decision_types,error_direction,leakage_count,no_deal_with_feasible_deal,no_deal_correct,rounds_used,rounds_remaining,ended_by,seller_last_price,buyer_last_price
pilot_v2_1_A_01_1787857375,A,1,early,0.0,0.0,True,0.73,0.73,0.76,0.84,True,True,0.82,1200.0,1200.0,0.09,0.0,0.0,on_pace,0.73,False,,,False,,none,0,False,False,4,2,seller_accept,0.83,0.82
pilot_v2_1_A_01_1787857375,A,2,early,1200.0,600.0,True,0.75,0.75,0.78,0.8,True,True,0.77,500.0,1700.0,0.02,1200.0,0.0,on_pace,0.75,False,,,False,,none,0,False,False,5,1,seller_accept,0.78,0.77
pilot_v2_1_A_01_1787857375,A,3,early,1700.0,1200.0,True,0.74,0.74,0.77,0.9,True,True,0.86,1500.0,3200.0,0.12,1700.0,0.0,on_pace,0.74,False,,,False,,none,0,False,False,3,3,buyer_accept,0.86,0.85
pilot_v2_1_A_01_1787857375,A,4,middle,3200.0,1800.0,True,0.73,0.73,0.76,0.79,True,True,0.78,800.0,4000.0,0.05,3200.0,0.0,on_pace,0.73,False,,,False,,none,0,False,False,5,1,buyer_accept,0.78,0.77
pilot_v2_1_A_01_1787857375,A,5,middle,4000.0,2400.0,True,0.82,0.82,0.85,0.86,True,True,0.86,700.0,4700.0,0.04,4000.0,0.0,on_pace,0.82,False,,,False,,none,0,False,False,5,1,buyer_accept,0.86,0.85
pilot_v2_1_A_01_1787857375,A,6,middle,4700.0,3000.0,True,0.81,0.81,0.84,0.83,True,True,0.81,300.0,5000.0,0.0,4700.0,0.0,on_pace,0.81,False,,,False,,none,0,False,False,4,2,seller_accept,0.84,0.81
pilot_v2_1_A_01_1787857375,A,7,middle,5000.0,3600.0,True,0.83,0.83,0.86,0.8,False,False,,0.0,5000.0,,5000.0,0.0,on_pace,0.83,False,,,False,,none,1,False,True,5,1,seller_walk_away,0.83,0.8
pilot_v2_1_A_01_1787857375,A,8,late,5000.0,4200.0,True,0.82,0.82,0.85,0.93,True,True,0.91,1200.0,6200.0,0.09,5000.0,0.0,behind_pace,0.85,True,pace_misstatement|minimum_misstatement,True,False,,conservative,0,False,False,4,2,buyer_accept,0.91,0.91
pilot_v2_1_A_01_1787857375,A,9,late,6200.0,4800.0,True,0.81,0.81,0.84,0.83,True,True,0.81,300.0,6500.0,0.0,6200.0,0.0,on_pace,0.81,False,,,False,,none,0,False,False,4,2,seller_accept,0.84,0.81
pilot_v2_1_A_01_1787857375,A,10,late,6500.0,5400.0,True,0.83,0.83,0.86,0.88,True,True,0.86,600.0,7100.0,0.03,6500.0,0.0,on_pace,0.83,False,,,False,,none,0,False,False,5,1,buyer_accept,0.86,0.86
